x,y,count,cluster,z_min,z_max,z_mean,z_std,canopy_height,point_density,intensity_mean,intensity_std
770166.1300000001,6270683.879999999,3,,5.58,5.84,5.739999999999999,0.14000000000000015,0.2599999999999998,128.20512820512832,nan,nan
770169.7300000001,6270683.879999999,2,,5.77,5.92,5.845,0.10606601717798238,0.15000000000000036,148.1481481481478,nan,nan
770170.03,6270683.879999999,2,,5.8,5.88,5.84,0.05656854249492385,0.08000000000000007,277.77777777777754,nan,nan
770170.3300000001,6270683.879999999,3,,5.92,5.93,5.923333333333333,0.005773502691896071,0.009999999999999787,3333.3333333334044,nan,nan
770170.6300000001,6270683.879999999,6,,5.83,5.96,5.901666666666666,0.04355073669487875,0.1299999999999999,512.8205128205133,nan,nan
770170.93,6270683.879999999,3,,5.87,5.96,5.919999999999999,0.045825756949558344,0.08999999999999986,370.37037037037095,nan,nan
770171.2300000001,6270683.879999999,5,,5.74,6.04,5.898000000000001,0.10917875251164953,0.2999999999999998,185.1851851851853,nan,nan
770164.3300000001,6270684.18,3,,5.64,5.82,5.743333333333333,0.09291573243177592,0.1800000000000006,185.18518518518457,nan,nan
770164.6300000001,6270684.18,4,,5.77,5.92,5.835,0.06244997998398407,0.15000000000000036,296.2962962962956,nan,nan
770164.93,6270684.18,3,,5.8,5.85,5.816666666666666,0.028867513459481187,0.04999999999999982,666.666666666669,nan,nan
770165.2300000001,6270684.18,3,,5.75,5.9,5.843333333333334,0.08144527815247082,0.15000000000000036,222.22222222222172,nan,nan
770165.53,6270684.18,3,,5.66,5.7,5.683333333333334,0.020816659994661132,0.040000000000000036,833.3333333333327,nan,nan
770165.8300000001,6270684.18,2,,5.49,5.95,5.720000000000001,0.32526911934581215,0.45999999999999996,48.30917874396136,nan,nan
770169.7300000001,6270684.18,7,,5.71,5.92,5.815714285714286,0.06451282633635542,0.20999999999999996,370.37037037037044,nan,nan
770170.03,6270684.18,4,,5.79,5.93,5.8825,0.06291528696058994,0.13999999999999968,317.4603174603182,nan,nan
770170.3300000001,6270684.18,4,,5.91,6.05,6.005,0.06608075867199643,0.13999999999999968,317.4603174603182,nan,nan
